id,username,email,password,createdAt,updatedAt
1,bob,bob@penis.email,$2a$10$HLbpZP7u4ttTEFyvU1uD8OBBgMvSmlUL0adfHrStJHM0155wlXmtW,"2017-12-13 00:15:39","2017-12-13 00:15:39"
2,frank,frank@gotmail.com,$2a$10$nHG31dH3oItqnAm0iPYlveD3LE4hx8G4C3VC0uRPzUrQ3m96loTu2,"2017-12-13 00:18:00","2017-12-13 00:18:00"
3,jerry,jerry@gotbail.com,$2a$10$ntPIOJx86ZmQ/NbPCd0uweJqpXwEDnM7pGD/ZQ/4/S2if6pEP6/wi,"2017-12-13 00:20:26","2017-12-13 00:20:26"
4,gerald,gerald@geraldnet.net,$2a$10$tjuJBVcXEwzf2.yJ/EwP5uH.fQp7fHPXp6ptpdFt86hqUuCj1l5RK,"2017-12-13 01:24:42","2017-12-13 01:24:42"
5,bobisabitch,bobby@bobmail.com,$2a$10$pp8oUp7G9VaG6CDjPmUfPepFPPxm.LN6DS4TXjj2p4VF89/yxvkLm,"2017-12-13 01:37:19","2017-12-13 01:37:19"
6,idiot,idiot@idiotmail.com,$2a$10$1yKzE4KkNXkBvQdUi9ChIuLDRvZYu5K/4XFRWBKY75jmD6FkUVflC,"2017-12-13 01:41:13","2017-12-13 01:41:13"
7,jerryfocker,fockermail@fuckyou.com,$2a$10$NYYFBIUCOAgMr4iN.rRn/eopGTfnC8AsYxC.LspIqVkFkCmPCN5Hq,"2017-12-13 01:49:37","2017-12-13 01:49:37"
10,fuckyuou,fuk@fuckyou.com,$2a$10$mb45XEPZk/YCEySwkpMSouHZdEYBk7ALlENZb2E/aERbL1jZJ1wn.,"2017-12-13 01:53:05","2017-12-13 01:53:05"
11,johnny,sumfuk@fuckyou.com,$2a$10$fona0QA7ZQ7lFofCfI43ou5iKZzQgWxL5FJykOHy5RNGqcb.T5Zk6,"2017-12-13 01:54:02","2017-12-13 01:54:02"
12,boobbb,dogshit@fuckyou.com,$2a$10$Ihk3IJoW/otcl.YlaRruyeb7Scb2wSrItyC3WaFmdRxljUwnaeBGK,"2017-12-13 01:58:35","2017-12-13 01:58:35"
13,jnargjrndg,hello@goddamit.com,$2a$10$VTqlkLWBH4e2fAGHQb3db.AAn8tHQvZWGF.14pnAcmfEq8YpwOSIu,"2017-12-13 01:59:30","2017-12-13 01:59:30"
14,lkjngrsa,hello@ng.com,$2a$10$2//gu2H8mdpIVFqZmJU.OOkfY3hGBijAeOJbShpHPluR7nL8CKdti,"2017-12-13 02:00:42","2017-12-13 02:00:42"
15,gnadokiungiuo,gurpgork@ng.com,$2a$10$bwB/jC0GeG5VIx3ghCY5PeAdh17Zm8v5FJt9TvRzo1.6J3HTdLSG6,"2017-12-13 02:05:03","2017-12-13 02:05:03"
17,gsrghar,gurpdgork@ng.com,$2a$10$jCWpwuVt0JWvOdXmzIwWd.Um3BHJKeF3jWFMnzoE9rUlQ.t5lGBs.,"2017-12-14 00:05:58","2017-12-14 00:05:58"
19,dgg,gurpdgfdork@ng.com,$2a$10$eKbUMKEpTs7BZnZxUqcs1.q51mARUI3wSl3p8LvbwitGZ19ylkzt.,"2017-12-14 00:41:22","2017-12-14 00:41:22"
20,badrghb,gurpdggdagdsfdork@ng.com,$2a$10$1WhJ4UOQwC2SGVE.u7IbleDBCPymCtoWObCPiLsh8lnay9rAhCw5i,"2017-12-14 00:56:06","2017-12-14 00:56:06"
